outcome,rain,start,end,n,status,r,p_partial_time,p_hac,p_block3,rain_coefficient,hac_ci_low,hac_ci_high,q_partial_time,q_hac,q_block3
Wheat,total_mm,1961,2023,63,exploratory historical,0.5334812848786199,8.020766312929334e-06,2.9420454043839596e-07,4.999750012499375e-05,547.6555238346285,357.86603336256155,737.4450143066955,0.00043312138089818405,7.94352259183669e-06,0.0026998650067496625
Wheat,former_mm,1961,2023,63,exploratory historical,0.48482218107311403,6.5159331125195e-05,8.107218416817304e-08,0.000199990000499975,1135.1398926859115,763.3895168773611,1506.890268494462,0.001759301940380265,4.377897945081344e-06,0.004949752512374382
Wheat,latter_mm,1961,2023,63,exploratory historical,0.27202651804672195,0.032446882907819,0.050955223336653276,0.03714814259287036,892.5366101187004,-3.8278088310220255,1788.9010290684228,0.1251522626444447,0.16185776824583983,0.15430766923192302
Wheat,total_mm,1961,1990,30,exploratory historical,0.5701641364043557,0.0012416436399489382,0.00019670580177725834,0.00044997750112494374,571.7170663762947,299.22230335252027,844.2118294000692,0.012400018672328211,0.0015174447565674215,0.004949752512374382
Wheat,former_mm,1961,1990,30,exploratory historical,0.3889541189748501,0.03703620358197034,0.000791778831882098,0.04669766511674416,926.9013038407824,423.63567070864514,1430.1669369729195,0.13333033289509322,0.004750672991292588,0.16811159442027898
Wheat,latter_mm,1961,1990,30,exploratory historical,0.36203638086539847,0.0536180448778252,0.007018735183244651,0.063946802659867,1158.0852026905454,343.75084915610785,1972.419556224983,0.18096090146266006,0.03158430832460093,0.21582045897705116
Wheat,total_mm,1991,2023,33,exploratory historical,0.6168051905138933,0.0001701522866802294,7.116531043453237e-05,0.0004999750012499375,474.50050948924786,264.004120409886,684.9968985686097,0.0030627411602441295,0.0007685853526929496,0.004949752512374382
Wheat,former_mm,1991,2023,33,exploratory historical,0.604687130100225,0.00024665378647917996,3.796031526880645e-05,0.0005499725013749313,1042.507054183468,601.426416055429,1483.587692311507,0.0033298261174689293,0.0005124642561288871,0.004949752512374382
Wheat,latter_mm,1991,2023,33,exploratory historical,0.08286776939963902,0.6520635496560472,0.5998642857064127,0.6470176491175441,208.19164642577374,-593.7138271811041,1010.0971200326514,0.8676775394355641,0.704188509307528,0.8125337919150554
cereal yield,total_mm,1961,2023,63,exploratory historical,0.3160208488922109,0.012342559113309802,0.004340228228965343,0.007499625018749062,3.5049494114889375,1.1402410481520677,5.869657774825807,0.06798942641292069,0.023437232436412853,0.051634918254087295
cereal yield,former_mm,1961,2023,63,exploratory historical,0.3073710319928747,0.01509324955493185,0.0064761501438582655,0.011099445027748612,7.775128501609933,2.2625442842199543,13.287712718999911,0.07409413417875635,0.03158430832460093,0.0599370031498425
cereal yield,latter_mm,1961,2023,63,exploratory historical,0.09215270766410288,0.47624053810856576,0.24846578373949416,0.4784260786960652,3.266635154589505,-2.340190004980808,8.873460314159818,0.7143608071628487,0.4732143101059249,0.7218586439099098
cereal yield,total_mm,1961,1990,30,exploratory historical,0.5658495608066184,0.0013777798524809122,0.00011958850011269382,0.0005499725013749313,4.5320822574499715,2.4614116968713744,6.602752818028568,0.012400018672328211,0.0010762965010142444,0.004949752512374382
cereal yield,former_mm,1961,1990,30,exploratory historical,0.4574660227369389,0.012590634520911238,1.5388102321532888e-05,0.019949002549872506,8.707821179634932,5.307377051984197,12.108265307285667,0.06798942641292069,0.000276985841787592,0.09793146706301048
cereal yield,latter_mm,1961,1990,30,exploratory historical,0.06379592702977721,0.7423259040863213,0.5448117456356446,0.7124143792810359,1.6300344791144639,-3.823358839992842,7.08342779822177,0.8676775394355641,0.7004722443886859,0.8382793626276134
cereal yield,total_mm,1991,2023,33,exploratory historical,0.1824734825985458,0.31751261676292786,0.22662594737443037,0.3214839258037098,2.37405802844501,-1.5536515130539685,6.301767569943989,0.6123457608999322,0.4732143101059249,0.5786710664466777
cereal yield,former_mm,1991,2023,33,exploratory historical,0.20910641130252666,0.25073112154758953,0.20179556724524966,0.22603869806509674,6.097032801962064,-3.4441679593752488,15.638233563299377,0.5065240529305671,0.4732143101059249,0.4694649882890471
cereal yield,latter_mm,1991,2023,33,exploratory historical,0.07221783939181786,0.6944777054472956,0.5053136354005697,0.6115194240287986,3.0684923706605423,-6.225797500814477,12.362782242135562,0.8676775394355641,0.6996650336315581,0.8125337919150554
