year,month,precip_mm
1977,5,1.8
1977,6,0.06
1977,7,0.04
1977,8,0.0
1977,9,0.29
1977,10,26.9
1977,11,14.7
1977,12,102.77
1978,1,53.61
1978,2,33.0
1978,3,40.41
1978,4,7.02
1978,5,0.15
1978,6,0.59
1978,7,0.04
1978,8,0.0
1978,9,0.02
1978,10,17.31
1978,11,7.21
1978,12,65.28
1979,1,42.63
1979,2,20.27
1979,3,31.88
1979,4,3.98
1979,5,2.47
1979,6,0.05
1979,7,0.05
1979,8,0.01
1979,9,0.05
1979,10,29.93
1979,11,75.74
1979,12,114.0
1980,1,63.26
1980,2,81.25
1980,3,45.23
1980,4,14.54
1980,5,0.55
1980,6,0.0
1980,7,0.04
1980,8,0.01
1980,9,0.0
1980,10,12.51
1980,11,8.52
1980,12,114.06
1981,1,90.99
1981,2,43.7
1981,3,28.62
1981,4,11.22
1981,5,0.43
1981,6,0.04
1981,7,0.04
1981,8,0.12
1981,9,0.34
1981,10,2.36
1981,11,39.98
1981,12,16.3
1982,1,55.92
1982,2,71.05
1982,3,42.0
1982,4,9.13
1982,5,4.96
1982,6,0.0
1982,7,0.05
1982,8,0.0
1982,9,0.89
1982,10,3.89
1982,11,61.7
1982,12,47.28
1983,1,96.34
1983,2,87.56
1983,3,55.84
1983,4,6.9
1983,5,2.7
1983,6,0.14
1983,7,0.04
1983,8,0.0
1983,9,0.02
1983,10,2.26
1983,11,33.78
1983,12,18.27
1984,1,68.47
1984,2,20.63
1984,3,54.06
1984,4,23.21
1984,5,0.0
1984,6,0.01
1984,7,0.08
1984,8,0.0
1984,9,0.0
1984,10,14.37
1984,11,24.14
1984,12,35.34
1985,1,36.06
1985,2,106.7
1985,3,19.95
1985,4,20.57
1985,5,2.13
1985,6,0.0
1985,7,0.04
1985,8,0.0
1985,9,0.21
1985,10,14.54
1985,11,11.62
1985,12,48.0
1986,1,45.57
1986,2,61.82
1986,3,9.25
1986,4,17.84
1986,5,11.5
1986,6,0.24
1986,7,0.04
1986,8,0.0
1986,9,0.81
1986,10,21.74
1986,11,131.14
1986,12,58.24
1987,1,48.44
1987,2,27.86
1987,3,45.98
1987,4,2.42
1987,5,0.11
1987,6,0.0
1987,7,0.04
1987,8,0.19
1987,9,0.0
1987,10,28.0
1987,11,15.29
1987,12,96.71
1988,1,84.35
1988,2,99.77
1988,3,41.46
1988,4,7.85
1988,5,0.3
1988,6,0.02
1988,7,0.05
1988,8,0.0
1988,9,0.04
1988,10,8.5
1988,11,28.24
1988,12,98.55
1989,1,46.79
1989,2,30.03
1989,3,42.04
1989,4,0.71
1989,5,0.15
1989,6,0.02
1989,7,0.04
1989,8,0.0
1989,9,0.02
1989,10,10.49
1989,11,41.93
1989,12,43.72
1990,1,76.78
1990,2,41.72
1990,3,38.31
1990,4,23.86
1990,5,1.37
1990,6,0.0
1990,7,0.05
1990,8,0.01
1990,9,0.0
1990,10,6.59
1990,11,13.75
1990,12,9.16
1991,1,97.89
1991,2,40.68
1991,3,59.4
1991,4,10.57
1991,5,2.01
1991,6,0.0
1991,7,0.06
1991,8,0.0
1991,9,0.48
1991,10,8.72
1991,11,61.3
1991,12,152.87
1992,1,108.63
1992,2,109.66
1992,3,18.05
1992,4,4.39
1992,5,4.52
1992,6,0.66
1992,7,0.05
1992,8,0.01
1992,9,0.09
1992,10,0.43
1992,11,35.01
1992,12,117.77
1993,1,63.53
1993,2,57.08
1993,3,18.59
1993,4,0.73
1993,5,6.78
1993,6,0.03
1993,7,0.04
1993,8,0.0
1993,9,0.0
1993,10,10.84
1993,11,17.99
1993,12,41.02
1994,1,80.28
1994,2,47.86
1994,3,36.37
1994,4,6.45
1994,5,3.29
1994,6,0.0
1994,7,0.04
1994,8,0.0
1994,9,0.16
1994,10,13.92
1994,11,127.49
1994,12,91.78
1995,1,17.57
1995,2,48.62
1995,3,20.14
1995,4,12.14
1995,5,1.07
1995,6,0.0
1995,7,0.04
1995,8,0.0
1995,9,0.0
1995,10,0.7
1995,11,43.6
1995,12,21.53
1996,1,86.36
1996,2,23.63
1996,3,58.23
1996,4,12.18
1996,5,0.08
1996,6,0.0
1996,7,0.04
1996,8,0.0
1996,9,0.39
