year,product,geography_id,rain_mm,rain_mm_months,former_mm,former_mm_months,latter_mm,latter_mm_months,pet_mm,pet_mm_months,balance_mm,balance_mm_months,wet_days,wet_days_months,spring_tmx_c,spring_tmx_c_months,annual_tmp_c,annual_tmp_c_months,rain_mm_baseline_n,rain_mm_anomaly,rain_mm_z,rain_percent_baseline,former_mm_baseline_n,former_mm_anomaly,former_mm_z,latter_mm_baseline_n,latter_mm_anomaly,latter_mm_z,pet_mm_baseline_n,pet_mm_anomaly,pet_mm_z,balance_mm_baseline_n,balance_mm_anomaly,balance_mm_z,wet_days_baseline_n,wet_days_anomaly,wet_days_z,spring_tmx_c_baseline_n,spring_tmx_c_anomaly,spring_tmx_c_z,annual_tmp_c_baseline_n,annual_tmp_c_anomaly,annual_tmp_c_z
1916,CRU-CY4.08,CRU-CY:Israel,463.7,12,51.4,2,116.89999999999999,2,1529.7,12,-1066.0,12,53.7,12,24.472826086956523,3,19.42267759562841,12,30,56.77999999999997,0.5787591367770976,113.95360267374421,30,-12.163333333333327,-0.2941700075454093,30,56.94999999999999,1.9260853257818549,30,27.90333333333342,0.9932745056316313,30,28.87666666666655,0.24736891996152027,30,6.080000000000005,0.8817797691307748,30,0.09329710144927361,0.10123275788839702,30,-0.31173059360731514,-0.5176775657982098
1917,CRU-CY4.08,CRU-CY:Israel,507.6,12,33.3,2,42.0,2,1569.4,12,-1061.8,12,53.5,12,24.731521739130436,3,18.820273972602738,12,30,100.68,1.0262322981810184,124.74196402241226,30,-30.26333333333333,-0.7319181963564735,30,-17.950000000000003,-0.6070804494782144,30,67.60333333333347,2.4064747639129247,30,33.0766666666666,0.28334777707239645,30,5.880000000000003,0.8527738556725253,30,0.35199275362318616,0.38193252150904433,30,-0.9141342166329878,-1.5180633078174515
1918,CRU-CY4.08,CRU-CY:Israel,515.1,12,44.1,2,106.89999999999999,2,1466.2,12,-951.1000000000001,12,61.199999999999996,12,22.995652173913044,3,18.86465753424658,12,30,108.18,1.1026798770085673,126.58507814803892,30,-19.463333333333324,-0.4707203820382693,30,46.94999999999999,1.5878789472424597,30,-35.59666666666658,-1.267133967941719,30,143.77666666666642,1.2316476537804777,30,13.579999999999998,1.9695015238151168,30,-1.383876811594206,-1.5015864806009338,30,-0.8697506549891472,-1.4443574392744962
1919,CRU-CY4.08,CRU-CY:Israel,537.8000000000001,12,119.6,2,59.9,2,1462.8999999999999,12,-925.1,12,57.4,12,23.13586956521739,3,19.10027397260274,12,30,130.88000000000005,1.334061215593283,132.16357023493563,30,56.03666666666667,1.3552458199084347,30,-0.05000000000000426,-0.00169103189269712,30,-38.89666666666676,-1.3846040145998684,30,169.77666666666653,1.4543739120859,30,9.780000000000001,1.4183891681083833,30,-1.243659420289859,-1.3494424910754577,30,-0.6341342166329866,-1.053079371700833
1920,CRU-CY4.08,CRU-CY:Israel,605.2000000000002,12,48.4,2,90.1,2,1453.6000000000001,12,-848.4000000000001,12,60.6,12,23.222826086956523,3,18.445081967213113,12,30,198.28000000000014,2.021070123990191,148.72702251056722,30,-15.163333333333327,-0.3667249559671326,30,30.14999999999999,1.019692231296276,30,-48.19666666666649,-1.715655964272806,30,246.47666666666646,2.1114163740868928,30,12.980000000000004,1.88248378344037,30,-1.1567028985507264,-1.255089629354229,30,-1.2893262220226127,-2.1411285059087177
1921,CRU-CY4.08,CRU-CY:Israel,456.0,12,74.6,2,61.9,2,1457.2,12,-1001.1999999999999,12,55.10000000000001,12,22.454347826086952,3,18.307945205479452,12,30,49.079999999999984,0.5002729558474808,112.06133883810085,30,11.036666666666669,0.2669215935825845,30,1.9499999999999957,0.06595024381518191,30,-44.59666666666658,-1.5875068224639264,30,93.67666666666662,0.8024712868150327,30,7.480000000000011,1.0848211633385196,30,-1.9251811594202977,-2.088933044815572,30,-1.4264629837562737,-2.3688656175415903
1922,CRU-CY4.08,CRU-CY:Israel,499.5,12,39.1,2,37.4,2,1465.9999999999998,12,-966.4999999999999,12,52.3,12,23.296739130434784,3,18.976438356164387,12,30,92.57999999999998,0.9436689130472651,122.75140076673547,30,-24.463333333333324,-0.5916452960744749,30,-22.550000000000004,-0.7626553836063362,30,-35.79666666666685,-1.274253364708889,30,128.37666666666667,1.0997251777072685,30,4.68,0.6787383749230299,30,-1.0827898550724662,-1.1748896968911875,30,-0.7579698330713391,-1.258727844425593
1923,CRU-CY4.08,CRU-CY:Israel,406.9,12,47.099999999999994,2,53.8,2,1551.4,12,-1144.5,12,47.20000000000001,12,24.67391304347826,3,19.042465753424658,12,30,-0.020000000000038654,-0.00020386021020719143,99.99508502899832,30,-16.46333333333333,-0.39816543361654616,30,-6.150000000000006,-0.2079969228017282,30,49.60333333333347,1.7657290548685103,30,-49.62333333333345,-0.4250930522298483,30,-0.4199999999999875,-0.06091241826232139,30,0.29438405797101197,0.3194237506187317,30,-0.6919424358110682,-1.1490789906055348
1924,CRU-CY4.08,CRU-CY:Israel,442.8,12,45.2,2,51.0,2,1571.8,12,-1129.0,12,51.800000000000004,12,24.721739130434784,3,18.929234972677595,12,30,35.879999999999995,0.36572521711099454,108.81745797699793,30,-18.363333333333323,-0.4441169009503041,30,-8.950000000000003,-0.3026947087927587,30,70.00333333333333,2.4919075251188416,30,-34.12333333333345,-0.29231393670161626,30,4.180000000000007,0.6062235912774081,30,0.34221014492753454,0.37131782456540696,30,-0.8051732165581313,-1.337116469610274
1925,CRU-CY4.08,CRU-CY:Israel,367.40000000000003,12,118.3,2,71.3,2,1594.3,12,-1226.8999999999999,12,49.1,12,25.42391304347826,3,19.044109589041096,12,30,-39.51999999999998,-0.4028277753686315,90.28801730069792,30,54.73666666666667,1.3238053422590212,30,11.349999999999994,0.3838642396422133,30,92.50333333333333,3.2928396614243596,30,-132.0233333333333,-1.1309639631670287,30,1.480000000000004,0.21464375959104426,30,1.044384057971012,1.1332171829643074,30,-0.6902986001946303,-1.1463491436224633
